Energy,O_XES
484.86496800603413,0.0001083807056019281
484.88496800603417,0.00010867681165675552
484.90496800603415,0.00010897462010159207
484.92496800603413,0.00010927415237893037
484.9449680060342,0.00010957543070761372
484.96496800603416,0.00010987847776504909
484.98496800603414,0.00011018331682175606
485.0049680060341,0.00011048997166343731
485.02496800603416,0.00011079846648171929
485.04496800603414,0.00011110882583649669
485.0649680060341,0.00011142107454427868
485.08496800603416,0.00011173523764544048
485.10496800603414,0.00011205134023137506
485.1249680060341,0.00011236940744389116
485.14496800603416,0.00011268946434958692
485.1649780060342,0.0001130116974643918
485.18497800603416,0.00011333580950618925
485.20497800603414,0.00011366198577113305
485.2249780060341,0.00011399025086054139
485.24497800603416,0.00011432062941760737
485.26497800603414,0.00011465314624392492
485.2849780060341,0.00011498782625839737
485.30497800603416,0.00011532469488340923
485.32497800603414,0.00011566377795726361
485.3449780060341,0.00011600510196766046
485.36497800603416,0.00011634869405518303
485.38497800603415,0.00011669458210865355
485.4049780060341,0.00011704279471015849
485.42497800603417,0.00011739336123732036
485.44497800603415,0.00011774631160173342
485.46497800603413,0.00011810167627877343
485.48497800603417,0.00011845948638245197
485.50497800603415,0.00011881977311195628
485.52497800603413,0.00011918256802636942
485.54497800603417,0.00011954790270660411
485.56497800603415,0.0001199158086920424
485.58497800603413,0.00012028631731880474
485.6049780060342,0.00012065945968065474
485.62497800603415,0.00012103526638205333
485.64497800603414,0.00012141376755718228
485.6649780060342,0.00012179499269857076
485.68497800603416,0.00012217897061695746
485.70498800603417,0.00012256592340053463
485.72498800603415,0.00012295549155400267
485.74498800603413,0.00012334789427332325
485.7649880060342,0.00012374315713031885
485.78498800603415,0.00012414130513709463
485.80498800603414,0.00012454236240447478
485.8249880060341,0.0001249463524336416
485.84498800603416,0.00012535329813854315
485.86498800603414,0.00012576322178939862
485.8849880060341,0.00012617614502019613
485.90498800603416,0.0001265920888296314
485.92498800603414,0.00012701107351917215
485.9449880060341,0.00012743311857552948
485.96498800603416,0.00012785824253632488
485.98498800603414,0.00012828646282898396
486.0049880060341,0.00012871779591532218
486.02498800603416,0.0001291522566109493
486.04498800603415,0.00012958985826320237
486.0649880060341,0.00013003061251316833
486.08498800603417,0.00013047452903591734
486.10498800603415,0.00013092161539780345
486.12498800603413,0.00013137187680772365
486.14498800603417,0.00013182531598251594
486.16498800603415,0.00013228193280440692
486.18498800603413,0.00013274172425187177
486.20498800603417,0.00013320468411080093
486.2249980060341,0.00013367103666300185
486.24499800603417,0.0001341403027425456
486.26499800603415,0.00013461269796393054
486.28499800603413,0.00013508820204907737
486.30499800603417,0.00013556679089092333
486.32499800603415,0.00013604843682082728
486.34499800603413,0.0001365331082995298
486.36499800603417,0.00013702077020247267
486.38499800603415,0.0001375113837748624
486.40499800603413,0.00013800490665449982
486.4249980060342,0.0001385012928508651
486.44499800603415,0.000139000492782827
486.46499800603414,0.00013950245324274532
486.4849980060342,0.00014000711734719532
486.50499800603416,0.0001405144243923855
486.52499800603414,0.00014102430981556568
486.5449980060341,0.00014153670541090346
486.56499800603416,0.00014205153867567278
486.58499800603414,0.00014256873315347736
486.6049980060341,0.00014308820823127745
486.62499800603416,0.00014360987903860723
486.64499800603414,0.00014413365639370587
486.6649980060341,0.00014465944672450483
486.68499800603416,0.00014518715200470772
486.70499800603415,0.00014571666964872734
486.7249980060341,0.00014624789254814725
486.74499800603417,0.00014678070900700748
486.7650080060341,0.0001473152702300978
486.78500800603416,0.0001478509212743353
486.80500800603414,0.00014838780385950111
486.8250080060341,0.0001489257888965443
486.84500800603416,0.0001494647434092843
486.86500800603415,0.00015000453089687098
486.8850080060341,0.00015054501164996547
486.90500800603417,0.00015108604315574464
486.92500800603415,0.00015162748041629864
486.94500800603413,0.00015216917636779148
486.96500800603417,0.00015271098217297258
486.98500800603415,0.0001532527475450606
487.00500800603413,0.00015379432104317277
487.02500800603417,0.00015433555026422987
487.04500800603415,0.00015487628203425012
487.06500800603413,0.00015541636262112084
487.0850080060342,0.000155955637945436
487.10500800603415,0.0001564939536000201
487.12500800603414,0.0001570311550727956
487.1450080060341,0.00015756708789497676
487.16500800603416,0.00015810159778897504
487.18500800603414,0.00015863453084863783
487.2050080060342,0.00015916573367299002
487.22500800603416,0.00015969505365511814
487.24500800603414,0.00016022233909953
487.2650080060341,0.00016074743952625495
487.28500800603416,0.00016127020590465298
487.3050180060342,0.00016179075049631918
487.32501800603416,0.00016230840785154649
487.34501800603414,0.00016282329597771023
487.3650180060341,0.00016333527520039524
487.38501800603416,0.0001638442089374655
487.40501800603414,0.00016434996458295425
487.4250180060341,0.00016485241372846333
487.44501800603416,0.00016535143256536755
487.46501800603414,0.0001658469024887494
487.4850180060341,0.00016633871044807882
487.50501800603416,0.00016682674929781918
487.52501800603414,0.00016731091812486733
487.5450180060341,0.00016779112259735383
487.56501800603417,0.0001682672751923612
487.58501800603415,0.00016873929550586614
487.60501800603413,0.00016920711011087424
487.62501800603417,0.00016967065330723158
487.64501800603415,0.00017012986692241695
487.66501800603413,0.00017058470051898347
487.68501800603417,0.0001710351116208986
487.70501800603415,0.0001714810657765354
487.72501800603413,0.00017192253669961262
487.7450180060342,0.0001723595062705042
487.76501800603415,0.00017279196478778828
487.78501800603414,0.00017321991079571308
487.8050180060342,0.00017364335131383844
487.82502800603413,0.0001740625102739334
487.84502800603417,0.00017447699278474524
487.86502800603415,0.000174887042250877
487.88502800603413,0.00017529270025192455
487.9050280060342,0.00017569401742312707
487.92502800603415,0.00017609105330801557
487.94502800603414,0.00017648387690510922
487.9650280060341,0.00017687256651701427
487.98502800603416,0.00017725720984886894
488.00502800603414,0.0001776379041696584
488.0250280060342,0.0001780147562651146
488.04502800603416,0.00017838788231552512
488.06502800603414,0.00017875740775018096
488.0850280060341,0.00017912346699493464
488.10502800603416,0.00017948620333528334
488.12502800603414,0.0001798457684761985
